순번,판례ID,제목,법원,사건유형,판결유형,선고일자
1768,220841,손해배상(의),대법원,대법원,민사,2022.04.28
1769,232963,수분양자지위확인등,대법원,대법원,민사,2022.04.28
1770,220843,시정명령등처분취소청구의소[대형마트를 운영하는 원고들이 전단을 통하여 한 1+1 광고 등 가격할인광고가 ‘거짓·과장의 광고’에 해당하는지 여부가 문제된 사건],대법원,대법원,일반행정,2022.04.28
1771,232617,아동·청소년의성보호에관한법률위반(위계등간음)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영),대법원,대법원,형사,2022.04.28
1772,220875,업무정지처분취소청구의소,대법원,대법원,일반행정,2022.04.28
1773,231831,영업정지처분취소,대법원,대법원,일반행정,2022.04.28
1774,220871,예탁금지급청구의소,대법원,대법원,민사,2022.04.28
1775,232719,위계공무집행방해·불실기재여권행사·여권법위반,대법원,대법원,형사,2022.04.28
1776,232625,위계공무집행방해·폭력행위등처벌에관한법률위반(공동주거침입),대법원,대법원,형사,2022.04.28
1777,220865,임금,대법원,대법원,민사,2022.04.28
1778,232619,정보통신망이용촉진및정보보호등에관한법률위반(명예훼손),대법원,대법원,형사,2022.04.28
1779,231829,조례안재의결무효확인,대법원,대법원,일반행정,2022.04.28
1780,232631,직권남용권리행사방해,대법원,대법원,형사,2022.04.28
1781,220839,채무부존재확인,대법원,대법원,일반행정,2022.04.28
1782,232957,청구이의,대법원,대법원,민사,2022.04.28
1783,220861,체당금,대법원,대법원,민사,2022.04.28
1784,232971,추심금,대법원,대법원,민사,2022.04.28
1785,220849,특정범죄가중처벌등에관한법률위반(운전자폭행등)(인정된 죄명: 상해)·재물손괴·특정범죄가중처벌등에관한법률위반(도주치상)·도로교통법위반(사고후미조치)·도로교통법위반(음주운전)·도로교통법위반(무면허운전)·특정범죄가중처벌등에관한법률위반(위험운전치상),대법원,대법원,형사,2022.04.28
1786,232975,강제집행정지,대법원,대법원,민사,2022.04.22
1787,222639,추행,대법원,대법원,형사,2022.04.21
1788,220881,주주총회소집허가,대법원,대법원,민사,2022.04.19
1789,232095,감금·강간치상,대법원,대법원,형사,2022.04.14
1790,220333,건물등철거,대법원,대법원,민사,2022.04.14
1791,232977,건물인도,대법원,대법원,민사,2022.04.14
1792,220329,건물철거및토지인도청구의소·건물매수대금청구의소,대법원,대법원,민사,2022.04.14
1793,220315,경정청구거부처분취소,대법원,대법원,세무,2022.04.14
1794,220297,공사대금,대법원,대법원,민사,2022.04.14
1795,231835,공탁된지연가산금에대한가산금청구의소,대법원,대법원,일반행정,2022.04.14
1796,232985,공탁의무이행청구,대법원,대법원,민사,2022.04.14
1797,232099,교통사고처리특례법위반(치상),대법원,대법원,형사,2022.04.14
1798,220429,근로기준법위반[사용자인 피고인이 인사규정상 정년을 변경한 것이 취업규칙을 근로자에게 불리하게 변경한 것인지가 문제된 사안],대법원,대법원,형사,2022.04.14
1799,232105,도로교통법위반,대법원,대법원,형사,2022.04.14
1800,232991,도메인이름이전청구권부존재확인·손해배상(지),대법원,대법원,민사,2022.04.14
1801,232089,마약류관리에관한법률위반(향정),대법원,대법원,형사,2022.04.14
1802,220293,매매대금·기타(금전),대법원,대법원,민사,2022.04.14
1803,220303,명예훼손,대법원,대법원,형사,2022.04.14
1804,231837,부가가치세경정거부처분취소,대법원,대법원,세무,2022.04.14
1805,220301,부당이득금,대법원,대법원,민사,2022.04.14
1806,232993,부당이득금,대법원,대법원,민사,2022.04.14
1807,220339,부당이득금반환,대법원,대법원,민사,2022.04.14
1808,220431,부당해고구제재심판정취소[보험회사 위탁계약형 지점장의 근로기준법상 근로자성 인정 여부가 쟁점이 된 사건],대법원,대법원,일반행정,2022.04.14
1809,232981,부인의소,대법원,대법원,민사,2022.04.14
1810,232989,분배금청구,대법원,대법원,민사,2022.04.14
1811,232107,사기방조·전자금융거래법위반·금융실명거래및비밀보장에관한법률위반,대법원,대법원,형사,2022.04.14
1812,232087,사기·컴퓨터등장애업무방해·정보통신망이용촉진및정보보호등에관한법률위반(정보통신망침해등)·정보통신망이용촉진및정보보호등에관한법률위반·사기미수,대법원,대법원,형사,2022.04.14
1813,232995,사해행위취소,대법원,대법원,민사,2022.04.14
1814,220437,산업안전보건법위반[타워크레인을 임차한 회사가 타워크레인이 손상된 채 작업을 진행한 사건],대법원,대법원,형사,2022.04.14
1815,232103,산지관리법위반,대법원,대법원,형사,2022.04.14
1816,220319,상수도시설분담금부과처분무효확인,대법원,대법원,일반행정,2022.04.14
1817,220305,성폭력범죄의처벌등에관한특례법위반(13세미만미성년자위계등간음)·성폭력범죄의처벌등에관한특례법위반(13세미만미성년자위계등추행)·부착명령,대법원,대법원,형사,2022.04.14
1818,232091,성폭력범죄의처벌등에관한특례법위반(주거침입강제추행)·준강제추행·절도미수·성폭력범죄의처벌등에관한특례법위반(비밀준수등)·재물손괴·부착명령,대법원,대법원,형사,2022.04.14
1819,220347,소유권말소등기,대법원,대법원,민사,2022.04.14
1820,220295,소유권말소등기,대법원,대법원,민사,2022.04.14
1821,220349,손해배상(기)등,대법원,대법원,민사,2022.04.14
1822,220433,손해배상(기)[비양육친이 미성년 자녀의 불법행위에 대한 감독의무자책임을 지는지 여부가 문제된 사건],대법원,대법원,민사,2022.04.14
1823,232997,손해배상(자),대법원,대법원,민사,2022.04.14
1824,220307,수입식품안전관리특별법위반,대법원,대법원,형사,2022.04.14
1825,220323,요양·보험급여결정승인처분취소청구,대법원,대법원,일반행정,2022.04.14
1826,232097,위계공무집행방해·건조물침입,대법원,대법원,형사,2022.04.14
1827,222733,의무이행의소[비의료인으로부터 고용된 원고(의료인)가 의료기관 개설자 명의변경절차 이행을 청구하는 사안],대법원,대법원,민사,2022.04.14
1828,232987,이혼,대법원,대법원,가사,2022.04.14
1829,220317,인정취소처분등취소청구의소,대법원,대법원,일반행정,2022.04.14
1830,220341,임금,대법원,대법원,민사,2022.04.14
1831,220321,조례안의결무효확인,대법원,대법원,일반행정,2022.04.14
1832,232101,조세범처벌법위반·특정범죄가중처벌등에관한법률위반(허위세금계산서교부등),대법원,대법원,형사,2022.04.14
1833,220313,주식매수가격결정등,대법원,대법원,민사,2022.04.14
1834,223301,집행관의집행위임거부등에대한이의신청서,대법원,대법원,민사,2022.04.14
1835,220343,청구이의,대법원,대법원,민사,2022.04.14
1836,220327,토지인도,대법원,대법원,민사,2022.04.14
1837,220337,퇴직금,대법원,대법원,민사,2022.04.14
1838,232979,퇴직금등,대법원,대법원,민사,2022.04.14
1839,232109,특정경제범죄가중처벌등에관한법률위반(사기)·사기·사기미수·협박,대법원,대법원,형사,2022.04.14
1840,232983,해고무효확인,대법원,대법원,민사,2022.04.14
1841,231833,화물자동차안전운임고시취소청구,대법원,대법원,일반행정,2022.04.14
1842,222647,회원지위확인청구의소,대법원,대법원,민사,2022.04.14
1843,233001,기피,대법원,대법원,민사,2022.04.08
1844,232999,소송비용액확정,대법원,대법원,민사,2022.04.08
1845,233005,과태료처분에대한이의,대법원,대법원,민사,2022.04.05
1846,220883,소송비용액확정,대법원,대법원,민사,2022.04.05
1847,222653,집행에관한이의,대법원,대법원,민사,2022.04.05
1848,233003,채권압류및전부명령,대법원,대법원,민사,2022.04.05
1849,227243,거절결정(특),대법원,대법원,특허,2022.03.31
1850,227233,건물철거등·건물철거등,대법원,대법원,민사,2022.03.31
1851,233019,건물철거및토지인도등·소유권이전등기,대법원,대법원,민사,2022.03.31
1852,227237,공탁금출급청구권확인,대법원,대법원,민사,2022.03.31
1853,233025,국가배상,대법원,대법원,민사,2022.03.31
1854,227267,국민체육진흥법위반[프로야구 선수인 피고인이 운동경기에 관하여 부정한 청탁을 받고 재물을 받았다는 사실로 기소된 사안],대법원,대법원,형사,2022.03.31
1855,231545,군인등강간치상,대법원,대법원,형사,2022.03.31
1856,227241,군인등강간치상·군인등강제추행치상(예비적 죄명: 상습강제추행)·부착명령,대법원,대법원,형사,2022.03.31
1857,227249,근로기준법위반·근로자퇴직급여보장법위반,대법원,대법원,형사,2022.03.31
1858,233021,기타(금전),대법원,대법원,민사,2022.03.31
1859,227231,배당이의,대법원,대법원,민사,2022.03.31
1860,233031,배당이의,대법원,대법원,민사,2022.03.31
1861,233017,배당이의,대법원,대법원,민사,2022.03.31
1862,230911,법인세등부과처분취소,대법원,대법원,세무,2022.03.31
1863,230909,법인세징수처분등취소청구,대법원,대법원,세무,2022.03.31
1864,227245,보증금반환,대법원,대법원,민사,2022.03.31
1865,227235,부당이득금반환,대법원,대법원,민사,2022.03.31
1866,233015,부당이득금반환청구의소,대법원,대법원,민사,2022.03.31
1867,230903,사망보상금지급청구,대법원,대법원,일반행정,2022.03.31
1868,227263,사문서위조·위조사문서행사,대법원,대법원,형사,2022.03.31
1869,227251,사실상혼인관계존재확인,대법원,대법원,가사,2022.03.31
1870,230905,상수도원인자부담금등부과처분취소,대법원,대법원,일반행정,2022.03.31
1871,227227,설계보상비반환,대법원,대법원,민사,2022.03.31
1872,233027,손해배상(기),대법원,대법원,민사,2022.03.31
1873,233029,손해배상(기),대법원,대법원,민사,2022.03.31
1874,227261,양수금등,대법원,대법원,민사,2022.03.31
1875,222649,업무상과실치사·산업안전보건법위반,대법원,대법원,형사,2022.03.31
1876,227239,위계공무집행방해·폭력행위등처벌에관한법률위반(공동주거침입),대법원,대법원,형사,2022.03.31
1877,227259,임금,대법원,대법원,민사,2022.03.31
1878,233007,임금,대법원,대법원,민사,2022.03.31
1879,233011,임금,대법원,대법원,민사,2022.03.31
1880,227265,자의성과본의변경허가,대법원,대법원,가사,2022.03.31
1881,231543,전자기록등내용탐지,대법원,대법원,형사,2022.03.31
1882,227247,주식양도절차이행,대법원,대법원,민사,2022.03.31
1883,227253,질권실행에따른공사대금청구의소,대법원,대법원,민사,2022.03.31
1884,227255,채무부존재확인,대법원,대법원,민사,2022.03.31
1885,233009,채무부존재확인·보험금,대법원,대법원,민사,2022.03.31
1886,227257,채무부존재확인·보험금,대법원,대법원,민사,2022.03.31
1887,227229,채무부존재확인[한의사인 원고가 생약제제에 대한 처방권한이 있다고 주장하면서 피고 보험사로부터 기 지급받은 진료비 반환채무의 부존재확인을 구하는 사안],대법원,대법원,민사,2022.03.31
1888,233023,청구이의,대법원,대법원,민사,2022.03.31
1889,233013,하자보수보증금청구·하자보수보증금청구,대법원,대법원,민사,2022.03.31
1890,230907,환불조치와회수조치처분등취소청구,대법원,대법원,일반행정,2022.03.31
1891,228767,판결경정,대법원,대법원,민사,2022.03.29
1892,222621,구상금,대법원,대법원,민사,2022.03.24
1893,222641,주거침입[영업주 몰래 카메라를 설치하기 위하여 음식점에 출입한 경우 주거침입죄가 성립하는지가 문제된 사건],대법원,대법원,형사,2022.03.24
1894,233035,담보취소(소멸),대법원,대법원,민사,2022.03.22
1895,235211,소송비용액확정,대법원,대법원,가사,2022.03.22
1896,233033,손해배상(기),대법원,대법원,민사,2022.03.22
1897,227223,강간치상·마약류관리에관한법률위반(향정)·성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영)·강제추행·특정경제범죄가중처벌등에관한법률위반(사기)·사기·공문서위조·위조공문서행사·부착명령,대법원,대법원,형사,2022.03.17
1898,227221,공무집행방해(인정된 죄명: 폭행),대법원,대법원,형사,2022.03.17
1899,227219,공제금,대법원,대법원,민사,2022.03.17
1900,231547,공직선거법위반·명예훼손,대법원,대법원,형사,2022.03.17
1901,227215,구상금,대법원,대법원,민사,2022.03.17
1902,227205,구상금,대법원,대법원,민사,2022.03.17
1903,227193,부가가치세등부과처분취소,대법원,대법원,세무,2022.03.17
1904,227217,부당이득금,대법원,대법원,민사,2022.03.17
1905,227207,부당이득금,대법원,대법원,민사,2022.03.17
1906,233037,부동산강제경매,대법원,대법원,민사,2022.03.17
1907,231549,사기,대법원,대법원,형사,2022.03.17
1908,232009,사해행위취소,대법원,대법원,민사,2022.03.17
1909,220243,상표법위반·업무상배임[타인의 상표가 부착된 제품을 무상으로 제공한 경우 상표법위반죄에 해당하는지 여부가 문제된 사건],대법원,대법원,형사,2022.03.17
1910,227197,손해배상(기),대법원,대법원,민사,2022.03.17
1911,220241,손해배상(의)[환자가 치료 도중 뇌출혈로 사망하자 의료과실에 의한 손해배상을 구하는 사건],대법원,대법원,민사,2022.03.17
1912,227201,시정명령등취소청구의소,대법원,대법원,일반행정,2022.03.17
1913,230913,시정명령및과징금납부명령취소,대법원,대법원,일반행정,2022.03.17
1914,227199,영유아보육법위반(예비적 죄명: 개인정보보호법위반),대법원,대법원,형사,2022.03.17
1915,227211,유류분청구·유류분청구,대법원,대법원,민사,2022.03.17
1916,227203,이익금배당,대법원,대법원,민사,2022.03.17
1917,232003,임금,대법원,대법원,민사,2022.03.17
1918,220885,임금,대법원,대법원,민사,2022.03.17
1919,227209,임대차보증금,대법원,대법원,민사,2022.03.17
1920,227213,주식매매대금청구의소,대법원,대법원,민사,2022.03.17
1921,232005,주식명의개서,대법원,대법원,민사,2022.03.17
1922,227225,지적재조사사업조정금이의신청기각처분취소청구의소,대법원,대법원,일반행정,2022.03.17
1923,232007,청구이의,대법원,대법원,민사,2022.03.17
1924,227195,퇴직금,대법원,대법원,민사,2022.03.17
1925,227191,폭력행위등처벌에관한법률위반(집단·흉기등상해)(변경된 죄명: 특수상해),대법원,대법원,형사,2022.03.17
1926,232013,근무형태변경시행무효확인,대법원,대법원,민사,2022.03.11
1927,230915,단체협약해석재심판정취소,대법원,대법원,일반행정,2022.03.11
1928,220239,"소유권이전등기·소유권이전등기[피고로부터 부동산을 증여받은 원고들이 피고를 상대로 증여를 원인으로 하여 위 부동산에 대한 소유권이전등기청구를 하자, 피고가 원고들 중 1인의 피고에 대한 범죄행위가 있었음을 이유로 증여의 해제를 주장한 사건]",대법원,대법원,민사,2022.03.11
1929,232011,손해배상(기)등,대법원,대법원,민사,2022.03.11
1930,227187,수수료반환,대법원,대법원,민사,2022.03.11
1931,227189,양수금,대법원,대법원,민사,2022.03.11
1932,227185,업무상배임·게임산업진흥에관한법률위반,대법원,대법원,형사,2022.03.11
1933,227181,위로금반환,대법원,대법원,민사,2022.03.11
1934,230917,증여세부과처분무효확인등,대법원,대법원,세무,2022.03.11
1935,227183,집행판결,대법원,대법원,민사,2022.03.11
1936,219921,건설산업기본법위반,대법원,대법원,형사,2022.02.24
1937,219923,공공단체등위탁선거에관한법률위반,대법원,대법원,형사,2022.02.24
1938,231463,공사대금반환,대법원,대법원,민사,2022.02.24
1939,231551,도로교통법위반(음주운전)·도로교통법위반(무면허운전),대법원,대법원,형사,2022.02.24
1940,230921,법인세원천징수처분등취소,대법원,대법원,세무,2022.02.24
1941,231465,불법행위손해배상금,대법원,대법원,민사,2022.02.24
1942,230919,양도소득세부과처분취소,대법원,대법원,세무,2022.02.24
1943,219925,조합장지위부존재확인,대법원,대법원,민사,2022.02.24
1944,219927,항고기각결정에대한재항고,대법원,대법원,형사,2022.02.18
1945,231467,건물명도·보증금반환,대법원,대법원,민사,2022.02.17
1946,219929,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영),대법원,대법원,형사,2022.02.17
1947,219937,손해배상(기),대법원,대법원,민사,2022.02.17
1948,219939,수익금·수익금등,대법원,대법원,민사,2022.02.17
1949,219935,임금[퇴직금 산정과 관련하여 계속근로기간의 기산점이 언제인지가 문제된 사건],대법원,대법원,민사,2022.02.17
1950,230923,징계처분취소,대법원,대법원,일반행정,2022.02.17
1951,219933,"차별구제[신체적 장애가 있는 원고들이 시외버스와 광역형 시내버스에 저상버스를 도입하지 않고, 휠체어 탑승설비를 장착하지 않은 것이 「장애인차별금지 및 권리구제 등에 관한 법률」에서 금지하는 정당한 편의제공 의무 위반의 차별행위라고 주장하면서, 「장애인차별금지 및 권리구제 등에 관한 법률」 제46조에 따라 위자료의 지급과 제48조 제2항에 따라 차별행위의 시정을 위한 적극적 조치를 청구한 사안]",대법원,대법원,민사,2022.02.17
1952,219931,택시운송사업면허취소처분취소청구,대법원,대법원,일반행정,2022.02.17
1953,219943,근로기준법위반,대법원,대법원,형사,2022.02.11
1954,231473,매매대금,대법원,대법원,민사,2022.02.11
1955,231555,명예훼손,대법원,대법원,형사,2022.02.11
1956,231557,모욕·경범죄처벌법위반,대법원,대법원,형사,2022.02.11
1957,219681,부당이득금·부당이득금반환등,대법원,대법원,민사,2022.02.11
1958,219669,사건기록열람등사거부처분취소·변경기각결정에대한재항고,대법원,대법원,형사,2022.02.11
1959,231553,사기·사문서위조·위조사문서행사·업무방해,대법원,대법원,형사,2022.02.11
1960,231471,사해행위취소·손해배상(기),대법원,대법원,민사,2022.02.11
1961,222645,위반차량운행정지취소등,대법원,대법원,일반행정,2022.02.11
1962,230925,유족급여및장의비부지급처분취소,대법원,대법원,일반행정,2022.02.11
1963,219919,임대차보증금반환등[임차인이 공인중개사사무실의 중개보조인을 통해 임대부동산을 관리하여 오던 임대인에게 중개보조인의 불법행위에 대한 사용자책임을 묻는 사안],대법원,대법원,민사,2022.02.11
1964,219673,점용료부과처분취소,대법원,대법원,일반행정,2022.02.11
1965,219917,지방공무원법위반[임용권자가 승진임용에 관한 부당한 영향을 미쳤는지가 문제된 사건],대법원,대법원,형사,2022.02.11
1966,219679,집행문부여의소,대법원,대법원,민사,2022.02.11
1967,231469,퇴직금등청구,대법원,대법원,민사,2022.02.11
1968,219695,경정거부처분취소,대법원,대법원,세무,2022.02.10
1969,219683,계약해지무효확인의소,대법원,대법원,민사,2022.02.10
1970,219705,공동주택관리법위반,대법원,대법원,민사,2022.02.10
1971,219701,구상금,대법원,대법원,민사,2022.02.10
1972,231559,도로교통법위반(음주운전),대법원,대법원,형사,2022.02.10
1973,231561,변호사법위반,대법원,대법원,형사,2022.02.10
1974,230927,불합격처분취소,대법원,대법원,일반행정,2022.02.10
1975,219699,상표등록출원무효처분취소청구의소,대법원,대법원,일반행정,2022.02.10
1976,219685,소유권말소등기,대법원,대법원,민사,2022.02.10
1977,231477,소유권이전등기말소등기절차승낙,대법원,대법원,민사,2022.02.10
1978,219693,손해배상(기),대법원,대법원,민사,2022.02.10
1979,219697,원천징수법인세환급거부처분취소청구의소,대법원,대법원,세무,2022.02.10
1980,219703,의사면허취소처분취소,대법원,대법원,일반행정,2022.02.10
1981,219691,임금등,대법원,대법원,민사,2022.02.10
1982,219689,징계무효확인등,대법원,대법원,민사,2022.02.10
1983,231475,토지인도·소유권이전등기,대법원,대법원,민사,2022.02.10
1984,219687,해고무효확인,대법원,대법원,민사,2022.02.10
1985,231479,가처분이의,대법원,대법원,민사,2022.02.08
1986,230931,경정거부처분취소,대법원,대법원,세무,2022.01.27
1987,219303,계약금반환청구,대법원,대법원,민사,2022.01.27
1988,219295,관리비,대법원,대법원,민사,2022.01.27
1989,230935,교습정지처분취소,대법원,대법원,일반행정,2022.01.27
1990,219309,도시및주거환경정비법위반,대법원,대법원,형사,2022.01.27
1991,219311,법인세등부과처분취소,대법원,대법원,세무,2022.01.27
1992,219315,법인세등부과처분취소,대법원,대법원,세무,2022.01.27
1993,230937,법인세부과처분취소,대법원,대법원,세무,2022.01.27
1994,231483,보증채무금,대법원,대법원,민사,2022.01.27
1995,219329,부당이득금반환,대법원,대법원,민사,2022.01.27
1996,231563,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영)·건조물침입,대법원,대법원,형사,2022.01.27
1997,219327,소송비용액확정,대법원,대법원,민사,2022.01.27
1998,219331,손해배상(의)[의사의 설명의무 위반에 따른 손해배상을 구하는 사건],대법원,대법원,민사,2022.01.27
1999,231565,업무상배임(인정된죄명:업무상배임미수),대법원,대법원,형사,2022.01.27
2000,219319,업무정지처분취소,대법원,대법원,일반행정,2022.01.27
2001,219307,영업권양도,대법원,대법원,민사,2022.01.27
2002,219291,예금채권확인의소,대법원,대법원,민사,2022.01.27
2003,219325,용역대여금청구의소,대법원,대법원,민사,2022.01.27
2004,219297,유류분반환청구의소,대법원,대법원,민사,2022.01.27
2005,237139,자본시장과금융투자업에관한법률위반·보조금관리에관한법률위반·업무상횡령·사기·허위작성공문서행사·금융실명거래및비밀보장에관한법률위반·범죄수익은닉의규제및처벌등에관한법률위반·업무방해·위계공무집행방해·위조사문서행사·증거은닉교사·증거인멸교사·증거위조교사·사문서위조·위조공문서행사(인정된죄명:허위작성공문서행사)[제3자가 임의제출한 정보저장매체에 저장된 전자정보 및 금융계좌추적용 압수ㆍ수색영장 집행 결과의 증거능력 인정 여부에 관한 사건],대법원,대법원,형사,2022.01.27
2006,219301,주거침입·도로교통법위반(음주운전)[피고인이 교제하다 헤어진 피해자의 주거가 속해 있는 아파트 동의 출입구에 설치된 공동출입문에 피해자나 다른 입주자의 승낙 없이 비밀번호를 입력하는 방법으로 아파트의 공용 부분에 출입하여 주거침입죄로 기소된 사안],대법원,대법원,형사,2022.01.27
2007,230933,징계처분취소,대법원,대법원,일반행정,2022.01.27
2008,231487,채무부존재확인,대법원,대법원,민사,2022.01.27
2009,222643,청구이의,대법원,대법원,민사,2022.01.27
2010,219299,추심금,대법원,대법원,민사,2022.01.27
2011,219323,친생자관계존재확인,대법원,대법원,가사,2022.01.27
2012,231481,특허권침해금지청구의소,대법원,대법원,민사,2022.01.27
2013,219345,폐쇄명령처분취소,대법원,대법원,일반행정,2022.01.27
2014,230929,폐쇄명령취소청구,대법원,대법원,일반행정,2022.01.27
2015,219305,해고무효확인[「파견근로자보호 등에 관한 법률」상 직접고용의무에 따른 근로관계의 계약기간이 문제된 사안],대법원,대법원,민사,2022.01.27
2016,231485,혼인의무효,대법원,대법원,가사,2022.01.27
2017,219321,혼인의무효및위자료,대법원,대법원,가사,2022.01.27
2018,231569,가정폭력범죄의처벌등에관한특례법위반,대법원,대법원,형사,2022.01.14
2019,231495,경매개시결정에대한이의,대법원,대법원,민사,2022.01.14
2020,231493,구상금,대법원,대법원,민사,2022.01.14
2021,222737,권리범위확인(특),대법원,대법원,특허,2022.01.14
2022,231489,권리범위확인(특),대법원,대법원,특허,2022.01.14
2023,231491,배당이의,대법원,대법원,민사,2022.01.14
2024,222735,변호사법위반·부패방지및국민권익위원회의설치와운영에관한법률위반,대법원,대법원,형사,2022.01.14
2025,219743,부가가치세등부과처분취소,대법원,대법원,세무,2022.01.14
2026,219733,부당이득금반환,대법원,대법원,민사,2022.01.14
2027,222729,부당해고구제재심판정취소[서면해고통지에 구체적인 비위행위가 기재되지 않고 축약기재되어 그 적법성이 문제된 사안],대법원,대법원,일반행정,2022.01.14
2028,231571,사기,대법원,대법원,형사,2022.01.14
2029,219727,사해행위취소,대법원,대법원,민사,2022.01.14
2030,219723,손해배상(국),대법원,대법원,민사,2022.01.14
2031,221869,손해배상(기)[권리금회수기회 방해를 원인으로 손해배상을 구하는 사건],대법원,대법원,민사,2022.01.14
2032,219715,압수처분에대한준항고기각결정에대한재항고[휴대전화에 대한 압수처분이 위법함을 이유로 그 취소를 구하는 사건],대법원,대법원,형사,2022.01.14
2033,231567,업무상배임,대법원,대법원,형사,2022.01.14
2034,219753,영업정지3개월및경고처분취소청구의소,대법원,대법원,일반행정,2022.01.14
2035,228769,이혼등·이혼등청구의소,대법원,대법원,가사,2022.01.14
2036,219757,거절결정(특),대법원,대법원,특허,2022.01.13
2037,231579,공전자기록등불실기재·불실기재공전자기록등행사,대법원,대법원,형사,2022.01.13
2038,222727,공탁금출급청구권확인·사해행위취소,대법원,대법원,민사,2022.01.13
2039,231577,도로교통법위반(음주운전),대법원,대법원,형사,2022.01.13
2040,231573,도로교통법위반(음주운전)·자동차손해배상보장법위반·폭행·모욕·사기·상해·재물은닉,대법원,대법원,형사,2022.01.13
2041,219749,등록무효(특),대법원,대법원,특허,2022.01.13
2042,230941,무효확인,대법원,대법원,일반행정,2022.01.13
2043,219735,물품대금,대법원,대법원,민사,2022.01.13
2044,219747,변호사법위반,대법원,대법원,형사,2022.01.13
2045,219745,변호사법위반,대법원,대법원,형사,2022.01.13
2046,231575,보험사기방지특별법위반,대법원,대법원,형사,2022.01.13
2047,219713,부당이득금,대법원,대법원,민사,2022.01.13
2048,219719,사기,대법원,대법원,형사,2022.01.13
2049,231581,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영),대법원,대법원,형사,2022.01.13
2050,231497,소유권말소등기,대법원,대법원,민사,2022.01.13
2051,219721,소유권이전등기,대법원,대법원,민사,2022.01.13
2052,231499,손해배상(기),대법원,대법원,민사,2022.01.13
2053,222623,손해배상(기),대법원,대법원,민사,2022.01.13
2054,231503,약정금,대법원,대법원,민사,2022.01.13
2055,230939,유족급여및장의비부지급처분취소,대법원,대법원,일반행정,2022.01.13
2056,231501,임금,대법원,대법원,민사,2022.01.13
2057,219731,임금[취업규칙 중 급여체계에 관한 규정이 근로자에게 불리하게 변경된 사안],대법원,대법원,민사,2022.01.13
2058,219741,자본시장과금융투자업에관한법률위반·증거은닉교사·특정경제범죄가중처벌등에관한법률위반(횡령)·업무상횡령·사문서위조·위조사문서행사·주식회사등의외부감사에관한법률위반·사기,대법원,대법원,형사,2022.01.13
2059,219729,주차권존재확인등의소,대법원,대법원,민사,2022.01.13
2060,231583,주택법위반·공인중개사법위반,대법원,대법원,형사,2022.01.13
2061,231505,이행명령위반(과태료),대법원,대법원,민사,2022.01.04
2062,219887,개발부담금부과처분취소,대법원,대법원,일반행정,2021.12.30
2063,231539,건물명도등,대법원,대법원,민사,2021.12.30
2064,231519,건물명도(인도),대법원,대법원,민사,2021.12.30
2065,219815,건물명도(인도),대법원,대법원,민사,2021.12.30
2066,219821,건물인도,대법원,대법원,민사,2021.12.30
2067,231593,경범죄처벌법위반,대법원,대법원,형사,2021.12.30
2068,231521,공사대금,대법원,대법원,민사,2021.12.30
2069,219871,노동조합및노동관계조정법위반,대법원,대법원,형사,2021.12.30
2070,231585,도로교통법위반(음주운전)·강제추행·공갈미수·주거침입·협박,대법원,대법원,형사,2021.12.30
2071,219893,등록무효(상),대법원,대법원,특허,2021.12.30
2072,222675,등록무효(특),대법원,대법원,특허,2021.12.30
2073,219889,등록무효(특),대법원,대법원,특허,2021.12.30
2074,219879,등록무효(특),대법원,대법원,특허,2021.12.30
2075,231591,모욕·경범죄처벌법위반,대법원,대법원,형사,2021.12.30
2076,231535,보험금,대법원,대법원,민사,2021.12.30
2077,231601,부가가치세등부과처분취소,대법원,대법원,세무,2021.12.30
2078,231587,부가가치세등부과처분취소,대법원,대법원,세무,2021.12.30
2079,219873,부당이득금,대법원,대법원,민사,2021.12.30
2080,231595,"부산북항제2,3부두인근공유수면매립지귀속지방자치단체결정취소",대법원,대법원,일반행정,2021.12.30
2081,222673,선거무효의소,대법원,대법원,일반행정,2021.12.30
2082,231599,성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영),대법원,대법원,형사,2021.12.30
2083,231515,소유권방해배제등,대법원,대법원,민사,2021.12.30
2084,231533,손해배상,대법원,대법원,민사,2021.12.30
2085,231531,손해배상(기),대법원,대법원,민사,2021.12.30
2086,231597,시정명령및과징금납부명령취소,대법원,대법원,일반행정,2021.12.30
2087,219831,아동·청소년의성보호에관한법률위반(음란물제작·배포등)·아동·청소년의성보호에관한법률위반(음란물소지)·정보통신망이용촉진및정보보호등에관한법률위반(음란물유포),대법원,대법원,형사,2021.12.30
2088,231517,약정금,대법원,대법원,민사,2021.12.30
2089,231523,약정금,대법원,대법원,민사,2021.12.30
2090,231589,양도소득세경정거부처분취소,대법원,대법원,세무,2021.12.30
2091,231529,인사발령무효확인등,대법원,대법원,민사,2021.12.30
2092,231527,임금,대법원,대법원,민사,2021.12.30
2093,219809,재물손괴,대법원,대법원,형사,2021.12.30
2094,219763,전세권근저당권설정등기말소,대법원,대법원,민사,2021.12.30
2095,231541,전세권설정등기말소·전세금반환,대법원,대법원,민사,2021.12.30
2096,231537,전세권설정등기말소청구의소,대법원,대법원,민사,2021.12.30
